No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [mph],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Axis [°],Pitch Spin Tilt,Pitch Release Height [ft],Pitch Release Side [ft],Pitch Extension [ft],Pitch Break (V) [in],Pitch Break Ind (V) [in],Pitch Break (H) [in],Pitch Strike Zone - Height [ft],Pitch Strike Zone - Offset [ft],Pitch Zone Speed [mph],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [mph],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Col50,Col51,Col52,Col53,Hit Carry Distance [ft],Col55,Col56,Hit Ball Flight Time [s],pfxx [in],pfxz [in],x0 [ft],y0 [ft],z0 [ft],vx0 [ft/s],vy0 [ft/s],vz0 [ft/s],ax [ft/s²],ay [ft/s²],az [ft/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [ft],pz [ft],Supervisor
2,07/17/2023,11:51:04,0,0,Chase Booth,{30059C29-C790-4E3D-8435-1FC74E071EF6},R,Daytona State College,BP,{6EDFCC32-611B-445E-AEB8-937F64015D9B},L,Bp 1,Stretch,,Top,,,,Fastball,,Called Strike,,,,,,,65.822,-0.018,-5.813,1563,,,9.453,3.854,0.449,,,,,,,,,,,,,,,,,,,,,-7.28,-64.614,-2.884,50,8.909,7.918,-93.229,-0.173,-6.675,8.495,-91.437,Daytona State College,Bp 1,,,,,{42D5F102-3DC7-4FF9-92C9-7B22C8BB98A6},0.393,-4.226,
3,07/17/2023,11:51:29,0,0,Chase Booth,{30059C29-C790-4E3D-8435-1FC74E071EF6},R,Daytona State College,BP,{6EDFCC32-611B-445E-AEB8-937F64015D9B},L,Bp 1,Stretch,,Top,,,,Fastball,,Called Strike,,,,,,,66.377,0.018,-6.83,1745,,,9.382,3.696,0.314,,,,,,,,,,,,,,,,,,,,,-4.376,-63.78,-2.607,50,8.932,9.133,-94.274,1.008,-4.082,9.397,-91.689,Daytona State College,Bp 1,,,,,{AE9AF563-B56C-41FF-9CA5-C7AF39AEA787},1.655,-3.378,
4,07/17/2023,11:51:44,0,0,Chase Booth,{30059C29-C790-4E3D-8435-1FC74E071EF6},R,Daytona State College,BP,{6EDFCC32-611B-445E-AEB8-937F64015D9B},L,Bp 1,Stretch,,Top,,,,Fastball,,Called Strike,,,,,,,69.205,1.568,-5.085,1815,,,8.913,3.433,0.391,,,,,,,,,,,,,,,,,,,,,-12.32,-55.425,-2.583,50,8.844,8.733,-98.227,-0.814,-12.312,12.213,-87.578,Daytona State College,Bp 1,,,,,{FBE44601-D5FD-4979-AA67-AF1E39E7BF2A},0.271,-2.998,
5,07/17/2023,11:52:00,0,0,Chase Booth,{30059C29-C790-4E3D-8435-1FC74E071EF6},R,Daytona State College,BP,{6EDFCC32-611B-445E-AEB8-937F64015D9B},L,Bp 1,Stretch,,Top,,,,Fastball,,Swinging Strike,,,,,,,69.515,0.617,-3.215,1853,,,8.923,3.024,0.478,,,,,,,,,,,,,,,,,,,,,-4.927,-53.088,-2.586,50,8.66,7.054,-98.787,-2.333,-5.041,10.495,-86.506,Daytona State College,Bp 1,,,,,{08CF0830-CDFC-448B-8392-D6F4FD08585F},0.336,-3.565,
6,07/17/2023,11:52:17,0,0,Chase Booth,{30059C29-C790-4E3D-8435-1FC74E071EF6},R,Daytona State College,BP,{6EDFCC32-611B-445E-AEB8-937F64015D9B},L,Bp 1,Stretch,,Top,,,,Fastball,,Ball,,,,,,,67.187,-1.752,-4.313,1707,,,8.746,3.59,0.775,,,,,,,,,,,,,,,,,,,,,11.058,-55.862,-2.719,50,8.262,9.247,-94.563,-4.805,10.354,9.814,-84.487,Daytona State College,Bp 1,,,,,{6803E498-E372-4688-A269-3F3F35FC782B},3.61,-6.064,
7,07/17/2023,11:52:35,0,0,Chase Booth,{30059C29-C790-4E3D-8435-1FC74E071EF6},R,Daytona State College,BP,{6EDFCC32-611B-445E-AEB8-937F64015D9B},L,Bp 1,Stretch,,Top,,,,Changeup,,Called Strike,,,,,,,65.306,0.948,-7.213,1708,,,8.624,3.43,0.429,,,,,,,,,,,,,,,,,,,,,7.371,-54.442,-2.183,50,8.571,12.307,-93.043,-2.645,6.68,9.539,-81.519,Daytona State College,Bp 1,,,,,{6BD8ABDD-75CD-4F33-A997-10064BFBC68D},5.388,-4.601,
8,07/17/2023,11:52:55,0,0,Chase Booth,{30059C29-C790-4E3D-8435-1FC74E071EF6},R,Daytona State College,BP,{6EDFCC32-611B-445E-AEB8-937F64015D9B},L,Bp 1,Stretch,,Top,,,,Fastball,,Ball,,,,,,,71.288,-1.921,-4.948,1812,,,8.679,3.095,0.836,,,,,,,,,,,,,,,,,,,,,12.97,-41.735,-2.203,50,8.12,9.604,-100.541,-8.409,13.569,12.932,-75.846,Daytona State College,Bp 1,,,,,{01779CBD-0E7C-43AD-BC8C-EEBA982F9B29},4.283,-5.53,
9,07/17/2023,11:53:12,0,0,Chase Booth,{30059C29-C790-4E3D-8435-1FC74E071EF6},R,Daytona State College,BP,{6EDFCC32-611B-445E-AEB8-937F64015D9B},L,Bp 1,Stretch,,Top,,,,Fastball,,Ball,,,,,,,71.325,-4.071,-4.417,1712,,,8.841,2.854,0.13,,,,,,,,,,,,,,,,,,,,,-3.705,-53.182,-2.258,50,7.681,9.046,-100.288,-10.323,-3.965,8.449,-89.106,Daytona State College,Bp 1,,,,,{3A61602E-8118-450E-8DB0-6C9F53030C27},1.732,-8.332,
10,07/17/2023,11:53:31,0,0,Chase Booth,{30059C29-C790-4E3D-8435-1FC74E071EF6},R,Daytona State College,BP,{6EDFCC32-611B-445E-AEB8-937F64015D9B},L,Bp 1,Stretch,,Top,,,,Fastball,,Called Strikeout,,,,,,,71.426,1.12,-4.056,1885,,,8.693,3.176,0.53,,,,,,,,,,,,,,,,,,,,,3.356,-55.125,-2.508,50,8.549,7.75,-101.361,-1.656,3.607,11.389,-91.444,Daytona State College,Bp 1,,,,,{1E015B91-5057-4914-8763-98F8E1DC211F},1.751,-3.379,
11,07/17/2023,11:53:47,0,0,Chase Booth,{30059C29-C790-4E3D-8435-1FC74E071EF6},R,Daytona State College,BP,{6EDFCC32-611B-445E-AEB8-937F64015D9B},L,Bp 1,Stretch,,Top,,,,Changeup,,Called Strike,,,,,,,68.092,2,-4.119,1605,333.95,5:15,8.885,3.097,0.794,-119.32,-44.361,21.684,0.982,0.706,61.489,-18.01,-0.128,0.623,,,,,,,,,,,,-16.434,-49.461,-2.544,50,8.903,7.41,-97.268,2.187,-16.214,10.983,-80.985,Daytona State College,Bp 1,,,,,{CD427802-6B27-4003-9FE6-1D56CDAB25C7},-0.878,-0.687,
12,07/17/2023,11:54:22,0,0,Chase Booth,{30059C29-C790-4E3D-8435-1FC74E071EF6},R,Daytona State College,BP,{6EDFCC32-611B-445E-AEB8-937F64015D9B},L,Bp 1,Stretch,,Top,,,,Curveball,,Called Strike,,,,,,,66.099,0.056,-4.569,2182,,,9.262,3.184,0.572,,,,,,,,,,,,,,,,,,,,,21.157,-55.045,-2.296,50,9.008,7.136,-94.07,-2.513,19.176,12.733,-82.077,Daytona State College,Bp 1,,,,,{918D10D5-58B6-4B36-B7C5-1923CAB646C7},4.281,-4.125,
13,07/17/2023,11:54:37,0,0,Chase Booth,{30059C29-C790-4E3D-8435-1FC74E071EF6},R,Daytona State College,BP,{6EDFCC32-611B-445E-AEB8-937F64015D9B},L,Bp 1,Stretch,,Top,,,,Curveball,,Ball,,,,,,,66.604,-0.064,-5.49,2214,,,9.562,3.348,0.01,,,,,,,,,,,,,,,,,,,,,11.828,-53.268,-2.262,50,9.205,7.327,-94.525,-5.234,10.98,10.887,-81.635,Daytona State College,Bp 1,,,,,{11ED3629-9CA7-4E1C-A58A-5B61B9063094},3.165,-5.042,
14,07/17/2023,11:54:55,0,0,Chase Booth,{30059C29-C790-4E3D-8435-1FC74E071EF6},R,Daytona State College,BP,{6EDFCC32-611B-445E-AEB8-937F64015D9B},L,Bp 1,Stretch,,Top,,,,Fastball,,Home Run,,,,,,,74.135,1.267,-2.957,1894,,,8.709,2.963,0.72,,,,,,,,,,,,,,,,,,,,,6.477,-44.44,-2.429,50,8.673,8.219,-105.233,-2.087,7.558,11.042,-84.042,Daytona State College,Bp 1,,,,,{E28E9A56-3AA7-4764-B7F9-89C9DD4D5F5B},2.31,-1.733,
15,07/17/2023,11:55:13,0,0,Chase Booth,{30059C29-C790-4E3D-8435-1FC74E071EF6},R,Daytona State College,BP,{6EDFCC32-611B-445E-AEB8-937F64015D9B},L,Bp 1,Stretch,,Top,,,,Changeup,,Ball,,,,,,,69.482,3.596,-4.124,1676,317.68,4:30,8.614,3.636,1.247,-117.629,-46.865,42.674,2.456,3.022,62.394,-16.169,3.383,0.605,,,,,,,,,,,,-29.455,-41.323,-2.947,50,8.98,6.058,-98.653,3.437,-30.047,10.519,-74.339,Daytona State College,Bp 1,,,,,{155B312D-8191-48AD-9D0C-706598A6800F},-3.73,1.198,
16,07/17/2023,11:55:33,0,0,Chase Booth,{30059C29-C790-4E3D-8435-1FC74E071EF6},R,Daytona State College,BP,{6EDFCC32-611B-445E-AEB8-937F64015D9B},L,Bp 1,Stretch,,Top,,,,Slider,,Ball,,,,,,,72.461,-3.092,-7.401,1400,,,9.17,3.765,0.199,,,,,,,,,,,,,,,,,,,,,22.581,-45.552,-2.358,50,8.305,11.917,-102.706,-4.907,24.965,11.412,-82.547,Daytona State College,Bp 1,,,,,{DA371C16-EE03-41B9-835C-5F455C94D669},6.386,-3.836,
